Finished Product Name,ADDED SULPHITES (10mg/kg or more),WHEAT (GLUTEN),GLUTEN containing cereal,HAZELNUT,MACADAMIA,PISTACHIO,ALMOND,PEANUT,CRUSTACEA,EGG,FISH,LUPIN,MILK,MOLLUSC,SESAME,SOY,PROPOLIS,BEE POLLEN,COLOR,COLOR_CLEAN,COLOR_RANK,ALLERGEN_PRIORITY,570ML DF,6L DF,80ML MB,5L DB,80ML DF,570ML MB,5L DF Bushtucker,6L MB,150ML MB,100ML DF,150ML DF,10L MB,100ML MB,2L DB Freesia,5L DF,5L DB Bushtucker,SOURCE_LABEL
Boysenberry Swirl,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,white,white,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Coconut  ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,white,white,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Frozen Yoghurt,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,white,white,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Glen Ewin Fig Leaf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,white,white,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Latte,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,white,white,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Lemon Myrtle & Macadamia with Toasted Coconut,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,white,white,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
"Ricotta, Fig and Honey",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,white,white,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Vanilla Bean,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,white,white,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Vanilla Bean and Macadamia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,white,white,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Vanilla Bean Ice Cream,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,white,white,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Vanilla Bean with White Chocolate and Nougat,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,white,white,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Vanilla Whip,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,white,white,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
White Chocolate,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,white,white,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
White Chocolate with Raspberry Ripple,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,white,white,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
French Vanilla Bean,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pale yellow,pale yellow,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Lu'Mone Cheesecake,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pale yellow,pale yellow,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Banana,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,yellow,yellow,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Cookie Dough (French Vanilla with Choc Chip),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,yellow,yellow,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Durian,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,yellow,yellow,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Rum and Raisin,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,yellow,yellow,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Frozen Peach Yoghurt,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pale orange,pale orange,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Lime Spider,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,white & green,white & green,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Raspberry Swirl,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,white&red,white&red,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Strawberries Delight,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pink,pink,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Turkish Delight,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pink,pink,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Watermelon Kiss,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pink,pink,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Cookies and Creme,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,white and brown,white and brown,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Cinnamon,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pale brown,pale brown,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Macadamia and KI Honey,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pale brown,pale brown,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Bean & Bikkie Ginger Bread,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,light brown,light brown,13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Caramel Crunch Ripple,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,light brown,light brown,13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Salted Caramel and Macadamia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,light brown,light brown,13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Hojicha (Roasted Green Tea),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,brownish green,brownish green,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Coffee  ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,brown,brown,16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Hazelnut,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,brown,brown,16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Irish Cream ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,brown,brown,16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Peanut Butter Cookie Dough,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,brown,brown,16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Peanut Butter with Chocolate and Caramel Swirl,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,brown,brown,16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Mint & Dark Chocolate,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,green,green,17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Pistachio,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,green,green,17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Matcha (Green Tea),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,dark green,dark green,18,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Ube,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,dark purple,dark purple,22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Blood Orange and Dark Chocolate,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,reddish orange,reddish orange,23,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Thai Tea,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,reddish orange,reddish orange,23,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Bubble Gum,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,dark blue,dark blue,24,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Chocolate,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,dark brown,dark brown,25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Chocolate Ice Cream,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,dark brown,dark brown,25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Chocolate Cherry Parfait,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,dark brown,dark brown,25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Chocolate Hazelnut ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,dark brown,dark brown,25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Black Sesame,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,black,black,26,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Liquorice,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,black,black,26,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Mango and Cream with Macadamia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,white & yellow,white & yellow,27,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Old English Toffee,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,yellow&brown,yellow&brown,27,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
Rainbow,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"red,yellow,blue","red,yellow,blue",27,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5L DB
DF Coconut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,white,white,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5L DF
DF Coconut with Raspberry Swirl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,white,white,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5L DF
DF Vanilla Bean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,white,white,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5L DF
Lemon Sorbet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,white,white,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5L DF
Lemon Sorbet & Desert Lime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,white,white,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5L DF
Yuzu Sorbet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,white,white,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5L DF
DF Durian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow,yellow,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5L DF
Mango Sorbet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow,yellow,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5L DF
Passionfruit Sorbet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow,yellow,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5L DF
Mandarin Sorbet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,orange,orange,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5L DF
DF Turkish Delight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pink,pink,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5L DF
Strawberry Sorbet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pink,pink,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5L DF
DF Salted Caramel with Crunchy Toffee Piece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,light brown,light brown,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5L DF
Green Apple Sorbet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,green,green,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5L DF
Lime Sorbet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,green,green,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5L DF
Raspberry Sorbet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,red,red,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5L DF
Wild Hibiscus and Mixed Berry Sorbet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,purple,purple,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5L DF
